Ticker,Current Price,SMA200,Distance %,Abs Distance %
MMM,144.84,157.34,-7.95,7.95
AOS,65.09,69.54,-6.40,6.40
ABT,92.48,120.40,-23.19,23.19
ABBV,200.95,214.17,-6.17,6.17
ACN,178.28,241.67,-26.23,26.23
ADBE,238.98,317.91,-24.83,24.83
AMD,305.33,205.55,48.54,48.54
AES,14.50,13.88,4.44,4.44
AFL,115.12,108.30,6.30,6.30
A,114.42,129.24,-11.47,11.47
APD,303.65,270.95,12.07,12.07
ABNB,141.87,128.23,10.64,10.64
AKAM,96.18,87.75,9.61,9.61
ALB,193.14,125.82,53.50,53.50
ARE,46.38,60.43,-23.25,23.25
ALGN,190.67,159.05,19.88,19.88
ALLE,147.42,162.10,-9.06,9.06
LNT,72.63,66.78,8.76,8.76
ALL,216.56,203.26,6.54,6.54
GOOGL,338.89,275.43,23.04,23.04
GOOG,337.75,275.70,22.51,22.51
MO,67.15,61.20,9.73,9.73
AMZN,255.08,226.20,12.77,12.77
AMCR,39.64,42.64,-7.04,7.04
AEE,112.05,102.79,9.01,9.01
AEP,135.08,117.93,14.54,14.54
AXP,318.55,334.33,-4.72,4.72
AIG,76.33,77.85,-1.95,1.95
AMT,179.01,185.00,-3.24,3.24
AWK,134.97,134.35,0.46,0.46
AMP,459.63,483.53,-4.94,4.94
AME,235.00,202.23,16.21,16.21
AMGN,348.62,320.57,8.75,8.75
APH,150.18,129.34,16.11,16.11
ADI,403.88,275.26,46.72,46.72
AON,323.56,346.04,-6.50,6.50
APA,38.66,25.93,49.12,49.12
APO,124.77,130.52,-4.40,4.40
AAPL,273.43,253.04,8.06,8.06
AMAT,403.91,262.92,53.63,53.63
APP,454.17,522.69,-13.11,13.11
APTV,60.41,76.33,-20.85,20.85
ACGL,98.07,92.71,5.78,5.78
ADM,70.03,62.03,12.89,12.89
ARES,114.78,149.77,-23.36,23.36
ANET,172.55,135.65,27.20,27.20
AJG,219.37,260.11,-15.66,15.66
AIZ,230.46,217.77,5.83,5.83
T,26.61,26.20,1.55,1.55
ATO,187.81,170.75,9.99,9.99
ADSK,231.98,282.07,-17.76,17.76
ADP,198.53,256.45,-22.59,22.59
AZO,3597.20,3774.01,-4.68,4.68
AVB,173.35,178.80,-3.05,3.05
AVY,167.43,174.19,-3.88,3.88
AXON,392.64,611.46,-35.79,35.79
BKR,64.49,50.61,27.44,27.44
BALL,63.12,54.85,15.08,15.08
BAC,52.47,50.82,3.26,3.26
BAX,18.41,21.02,-12.40,12.40
BDX,154.85,152.55,1.51,1.51
BRK-B,470.55,489.94,-3.96,3.96
BBY,61.50,69.01,-10.88,10.88
TECH,52.20,57.99,-9.98,9.98
BIIB,187.88,162.81,15.40,15.40
BLK,1053.47,1074.00,-1.91,1.91
BX,122.33,146.96,-16.76,16.76
XYZ,69.93,68.12,2.65,2.65
BK,135.42,111.86,21.06,21.06
BA,234.15,219.62,6.62,6.62
BKNG,176.75,201.37,-12.23,12.23
BSX,65.69,91.34,-28.08,28.08
BMY,59.02,50.66,16.51,16.51
AVGO,419.94,334.87,25.41,25.41
BR,155.95,215.53,-27.64,27.64
BRO,67.55,82.29,-17.91,17.91
BF-B,28.40,27.66,2.67,2.67
BLDR,90.14,114.66,-21.39,21.39
BG,126.42,97.80,29.26,29.26
BXP,57.00,64.90,-12.18,12.18
CHRW,183.74,150.01,22.49,22.49
CDNS,314.33,321.28,-2.16,2.16
CPT,102.43,104.11,-1.62,1.62
CPB,20.96,27.82,-24.65,24.65
COF,196.63,214.14,-8.18,8.18
CAH,204.72,187.33,9.28,9.28
CCL,26.65,28.84,-7.59,7.59
CARR,61.54,60.24,2.17,2.17
CVNA,403.02,366.59,9.94,9.94
CASY,789.82,588.94,34.11,34.11
CAT,835.24,575.52,45.13,45.13
CBOE,300.12,258.91,15.92,15.92
CBRE,149.31,154.19,-3.17,3.17
CDW,136.47,144.95,-5.85,5.85
COR,311.39,327.16,-4.82,4.82
CNC,41.09,36.20,13.50,13.50
CNP,43.18,39.40,9.59,9.59
CF,125.59,92.78,35.36,35.36
CRL,167.74,175.68,-4.52,4.52
SCHW,88.92,95.49,-6.88,6.88
CHTR,241.78,242.67,-0.37,0.37
CVX,187.60,163.25,14.92,14.92
CMG,33.90,38.60,-12.18,12.18
CB,332.88,298.00,11.70,11.70
CHD,94.58,91.36,3.53,3.53
CIEN,515.85,224.32,129.97,129.97
CI,279.72,280.35,-0.22,0.22
CINF,168.18,157.85,6.55,6.55
CTAS,177.62,195.02,-8.92,8.92
CSCO,88.59,73.69,20.22,20.22
C,128.51,105.54,21.77,21.77
CFG,65.17,55.32,17.80,17.80
CLX,97.66,111.25,-12.22,12.22
CME,285.47,275.00,3.81,3.81
CMS,76.62,72.68,5.42,5.42
KO,76.28,70.93,7.54,7.54
CTSH,55.10,71.23,-22.64,22.64
COHR,337.68,171.74,96.63,96.63
COIN,197.93,270.00,-26.69,26.69
CL,83.72,82.94,0.95,0.95
CMCSA,31.64,28.56,10.78,10.78
FIX,1773.91,1012.75,75.16,75.16
CAG,14.41,17.46,-17.46,17.46
COP,124.37,99.45,25.06,25.06
ED,110.25,102.26,7.81,7.81
STZ,159.31,149.15,6.81,6.81
CEG,292.77,326.74,-10.40,10.40
COO,64.95,74.50,-12.82,12.82
CPRT,33.88,41.25,-17.86,17.86
GLW,169.50,96.69,75.30,75.30
CPAY,313.47,309.34,1.34,1.34
CTVA,79.63,71.29,11.70,11.70
CSGP,37.38,67.88,-44.94,44.94
COST,1014.38,947.97,7.01,7.01
CTRA,33.65,26.68,26.11,26.11
CRH,117.16,114.15,2.64,2.64
CRWD,445.39,458.50,-2.86,2.86
CCI,87.52,90.50,-3.30,3.30
CSX,46.18,36.72,25.76,25.76
CMI,656.93,482.64,36.11,36.11
CVS,78.86,74.45,5.92,5.92
DHR,178.57,208.65,-14.42,14.42
DRI,202.34,194.23,4.18,4.18
DDOG,127.86,138.26,-7.52,7.52
DVA,155.03,132.59,16.92,16.92
DECK,107.71,103.49,4.08,4.08
DE,591.95,511.48,15.73,15.73
DELL,212.14,138.25,53.45,53.45
DAL,68.37,62.83,8.81,8.81
DVN,48.15,37.74,27.57,27.57
DXCM,62.70,70.23,-10.72,10.72
FANG,195.59,154.89,26.28,26.28
DLR,200.00,168.52,18.68,18.68
DG,122.06,120.11,1.63,1.63
DLTR,102.25,111.56,-8.34,8.34
D,62.52,59.73,4.67,4.67
DPZ,372.39,414.12,-10.08,10.08
DASH,177.00,219.08,-19.21,19.21
DOV,228.15,192.79,18.34,18.34
DOW,38.53,26.95,42.95,42.95
DHI,164.22,152.99,7.34,7.34
DTE,147.40,136.83,7.73,7.73
DUK,128.04,122.08,4.88,4.88
DD,46.37,38.80,19.50,19.50
ETN,424.50,359.42,18.11,18.11
EBAY,103.40,89.03,16.13,16.13
SATS,121.52,84.93,43.09,43.09
ECL,271.45,271.87,-0.16,0.16
EIX,70.34,59.26,18.70,18.70
EW,79.72,80.89,-1.45,1.45
EA,202.51,191.24,5.90,5.90
ELV,346.29,321.36,7.76,7.76
EME,873.11,673.34,29.67,29.67
EMR,142.44,137.03,3.95,3.95
ETR,113.92,95.51,19.27,19.27
EOG,133.87,115.38,16.02,16.02
EPAM,120.77,167.58,-27.93,27.93
EQT,58.93,55.87,5.48,5.48
EFX,174.93,218.42,-19.91,19.91
EQIX,1115.29,830.32,34.32,34.32
EQR,62.65,61.30,2.20,2.20
ERIE,248.90,296.22,-15.97,15.97
ESS,255.06,254.35,0.28,0.28
EL,76.40,93.98,-18.71,18.71
EG,350.81,330.98,5.99,5.99
EVRG,81.89,75.08,9.07,9.07
ES,68.77,67.71,1.56,1.56
EXC,46.75,45.09,3.69,3.69
EXE,96.30,104.44,-7.79,7.79
EXPE,250.37,232.87,7.52,7.52
EXPD,149.75,136.39,9.80,9.80
EXR,142.66,137.30,3.90,3.90
XOM,150.53,125.54,19.91,19.91
FFIV,299.89,287.66,4.25,4.25
FDS,228.08,288.17,-20.85,20.85
FICO,979.76,1488.08,-34.16,34.16
FAST,45.45,44.61,1.88,1.88
FRT,111.50,98.73,12.93,12.93
FDX,392.69,285.88,37.36,37.36
FIS,45.74,61.77,-25.95,25.95
FITB,50.89,45.30,12.35,12.35
FSLR,196.19,220.91,-11.19,11.19
FE,49.62,45.65,8.69,8.69
FISV,61.55,92.48,-33.44,33.44
F,12.48,12.35,1.09,1.09
FTNT,82.76,83.65,-1.07,1.07
FTV,61.11,52.79,15.76,15.76
FOXA,64.53,62.18,3.77,3.77
FOX,57.74,56.09,2.94,2.94
BEN,26.82,23.93,12.06,12.06
FCX,61.48,50.09,22.73,22.73
GRMN,260.80,225.45,15.68,15.68
IT,148.60,228.69,-35.02,35.02
GE,282.34,296.73,-4.85,4.85
GEHC,69.89,76.69,-8.87,8.87
