Ticker,Current Price,52-Week Low,52-Week High,Distance %
MMM,145.78,133.60,173.83,9.12
AOS,64.81,61.80,80.47,4.88
ABT,91.70,91.70,135.32,0.00
ABBV,200.50,171.46,238.71,16.93
ACN,190.10,179.53,318.90,5.89
ADBE,255.94,225.35,420.68,13.57
AMD,303.46,90.39,303.46,235.72
AES,14.45,9.27,17.28,55.84
AFL,114.75,96.54,116.85,18.86
A,120.47,104.15,156.56,15.68
APD,296.76,227.66,298.71,30.35
ABNB,144.18,111.54,144.18,29.26
AKAM,97.11,70.53,119.15,37.69
ALB,194.22,54.14,215.62,258.74
ARE,46.65,42.61,83.51,9.48
ALGN,196.05,124.88,207.19,56.99
ALLE,144.93,125.52,179.09,15.46
LNT,70.96,58.14,73.72,22.05
ALL,214.16,188.16,218.23,13.82
GOOGL,339.32,150.86,343.45,124.93
GOOG,337.73,152.27,344.66,121.79
MO,65.18,52.63,68.55,23.85
AMZN,255.36,180.60,255.36,41.40
AMCR,40.27,38.11,49.92,5.67
AEE,109.24,91.67,114.32,19.17
AEP,131.62,96.26,137.15,36.74
AXP,332.90,257.44,382.83,29.31
AIG,76.03,71.47,86.08,6.38
AMT,176.31,165.62,225.84,6.46
AWK,131.13,122.12,145.54,7.38
AMP,468.51,430.40,543.89,8.85
AME,230.46,161.14,241.08,43.02
AMGN,345.92,254.30,388.16,36.03
APH,148.13,70.65,165.92,109.67
ADI,381.42,180.36,381.42,111.48
AON,326.86,309.97,375.37,5.45
APA,38.06,14.86,44.09,156.10
APO,129.06,100.30,154.24,28.67
AAPL,273.17,194.68,285.92,40.32
AMAT,403.48,142.31,403.48,183.53
APP,483.71,252.35,733.60,91.68
APTV,60.86,53.31,88.67,14.16
ACGL,96.77,84.72,101.98,14.22
ADM,69.43,45.85,73.83,51.44
ARES,121.05,95.20,187.77,27.15
ANET,177.73,70.76,177.73,151.17
AJG,221.11,204.17,345.35,8.30
AIZ,229.07,182.42,242.33,25.57
T,25.98,22.76,28.80,14.14
ATO,182.49,148.94,192.29,22.53
ADSK,247.57,218.45,326.79,13.33
ADP,201.69,188.79,318.79,6.83
AZO,3589.99,3244.92,4354.54,10.63
AVB,171.31,159.04,204.23,7.72
AVY,167.05,155.86,196.48,7.18
AXON,403.15,345.94,870.97,16.54
BKR,62.54,34.70,65.26,80.25
BALL,62.67,46.08,67.56,35.99
BAC,53.12,37.90,56.93,40.17
BAX,18.31,15.80,31.47,15.89
BDX,155.65,126.85,184.21,22.70
BRK-B,465.40,459.11,539.80,1.37
BBY,63.53,60.08,81.66,5.74
TECH,58.58,46.47,71.28,26.07
BIIB,190.07,116.82,201.18,62.70
BLK,1062.47,874.52,1190.14,21.49
BX,129.73,102.12,184.87,27.04
XYZ,72.50,46.53,81.11,55.81
BK,135.88,76.60,137.92,77.39
BA,231.28,172.37,252.15,34.18
BKNG,179.40,154.48,231.27,16.13
BSX,64.87,59.52,108.14,8.99
BMY,58.80,41.67,61.73,41.10
AVGO,422.65,175.49,422.65,140.84
BR,160.64,151.12,263.28,6.30
BRO,67.88,63.43,117.34,7.02
BF-B,28.53,22.80,34.92,25.13
BLDR,90.63,78.85,149.21,14.94
BG,125.77,71.43,129.42,76.08
BXP,58.29,50.74,76.36,14.89
CHRW,182.35,85.91,199.91,112.25
CDNS,331.61,265.42,373.37,24.94
CPT,101.48,95.56,116.12,6.19
CPB,20.82,20.00,35.42,4.10
COF,199.43,174.09,256.96,14.56
CAH,200.55,132.93,229.32,50.87
CCL,26.94,18.26,33.83,47.57
CARR,60.65,50.14,80.08,20.95
CVNA,416.79,220.94,478.45,88.64
CASY,782.91,429.51,782.91,82.28
CAT,808.87,292.60,808.87,176.44
CBOE,297.45,210.31,309.38,41.43
CBRE,153.52,120.43,171.61,27.48
CDW,142.44,113.48,187.53,25.52
COR,308.30,276.40,374.11,11.54
CNC,38.93,25.21,62.92,54.42
CNP,42.12,34.97,44.14,20.45
CF,122.46,74.17,137.60,65.12
CRL,184.80,109.00,226.77,69.54
SCHW,91.71,76.90,106.85,19.25
CHTR,242.49,182.81,427.25,32.65
CVX,186.32,129.66,211.15,43.69
CMG,35.11,29.81,58.24,17.78
CB,325.43,265.21,341.75,22.71
CHD,92.90,81.26,105.26,14.32
CIEN,498.97,62.59,507.43,697.20
CI,274.70,241.71,332.99,13.65
CINF,166.27,130.69,171.64,27.22
CTAS,174.66,165.71,226.13,5.40
CSCO,89.80,54.38,89.80,65.14
C,129.73,64.62,133.05,100.76
CFG,65.16,35.20,68.12,85.10
CLX,96.85,95.16,136.16,1.77
CME,285.71,251.63,318.84,13.55
CMS,74.98,67.06,79.94,11.81
KO,74.63,64.77,81.00,15.23
CTSH,58.81,57.92,86.26,1.54
COHR,350.47,59.34,350.47,490.61
COIN,206.24,141.09,419.78,46.18
CL,82.35,74.06,98.53,11.19
