Ticker,Current Price,52-Week Low,52-Week High,Distance %
MMM,144.77,133.60,173.83,16.72
AOS,65.36,61.80,80.47,18.78
ABT,92.26,91.70,135.32,31.82
ABBV,201.41,171.46,238.71,15.63
ACN,179.60,179.53,318.90,43.68
ADBE,239.39,225.35,420.68,43.09
AMD,304.10,90.39,304.10,0.00
AES,14.48,9.27,17.28,16.17
AFL,115.22,96.54,116.85,1.39
A,114.12,104.15,156.56,27.11
APD,303.45,227.66,303.45,0.00
ABNB,141.75,111.54,144.18,1.69
AKAM,96.18,70.53,119.15,19.28
ALB,191.73,54.14,215.62,11.08
ARE,46.38,42.61,83.51,44.47
ALGN,191.55,124.88,207.19,7.55
ALLE,147.92,125.52,179.09,17.41
LNT,72.49,58.14,73.72,1.67
ALL,217.60,188.16,218.23,0.29
GOOGL,339.18,150.86,343.45,1.24
GOOG,338.01,152.27,344.66,1.93
MO,67.36,52.63,68.55,1.75
AMZN,255.69,180.60,255.69,0.00
AMCR,39.62,38.11,49.92,20.65
AEE,111.84,91.67,114.32,2.17
AEP,135.02,96.26,137.15,1.55
AXP,316.93,257.44,382.83,17.21
AIG,76.37,71.47,86.08,11.28
AMT,178.06,165.62,225.84,21.16
AWK,135.13,122.12,145.54,7.15
AMP,461.33,430.40,543.89,15.18
AME,234.62,161.14,241.08,2.68
AMGN,350.47,254.30,388.16,9.71
APH,150.52,70.65,165.92,9.28
ADI,401.96,180.36,401.96,0.00
AON,323.68,309.97,375.37,13.77
APA,38.72,14.86,44.09,12.19
APO,124.83,100.30,154.24,19.07
AAPL,274.18,194.68,285.92,4.11
AMAT,401.07,142.31,403.48,0.60
APP,453.19,252.35,733.60,38.22
APTV,60.77,53.31,88.67,31.46
ACGL,98.49,84.72,101.98,3.42
ADM,70.15,45.85,73.83,4.98
ARES,114.61,95.20,187.77,38.96
ANET,171.61,70.76,177.73,3.44
AJG,219.18,204.17,345.35,36.54
AIZ,231.04,182.42,242.33,4.66
T,26.75,22.76,28.80,7.11
ATO,187.77,148.94,192.29,2.35
ADSK,231.46,218.45,326.79,29.17
ADP,198.66,188.79,318.79,37.68
AZO,3604.18,3244.92,4354.54,17.23
AVB,173.41,159.04,204.23,15.09
AVY,167.46,155.86,196.48,14.77
AXON,388.12,345.94,870.97,55.44
BKR,64.50,34.70,65.26,1.16
BALL,63.34,46.08,67.56,6.24
BAC,52.46,37.90,56.93,7.86
BAX,18.32,15.80,31.47,41.80
BDX,155.52,126.85,184.21,15.58
BRK-B,472.49,459.11,539.80,12.47
BBY,61.62,60.08,81.66,24.54
TECH,51.94,46.47,71.28,27.14
BIIB,188.40,116.82,201.18,6.35
BLK,1057.05,874.52,1190.14,11.18
BX,121.93,102.12,184.87,34.05
XYZ,69.74,46.53,81.11,14.02
BK,135.20,76.60,137.92,1.98
BA,232.20,172.37,252.15,7.91
BKNG,175.94,154.48,231.27,23.92
BSX,66.07,59.52,108.14,38.90
BMY,59.15,41.67,61.73,4.19
AVGO,420.05,175.49,422.65,0.61
BR,154.92,151.12,263.28,41.16
BRO,67.65,63.43,117.34,42.34
BF-B,28.46,22.80,34.92,18.50
BLDR,90.25,78.85,149.21,39.51
BG,126.48,71.43,129.42,2.27
BXP,56.88,50.74,76.36,25.51
CHRW,183.73,85.91,199.91,8.09
CDNS,313.90,265.42,373.37,15.93
CPT,102.75,95.56,116.12,11.51
CPB,20.91,20.00,35.42,40.98
COF,196.07,174.09,256.96,23.70
CAH,205.06,132.93,229.32,10.58
CCL,26.51,18.26,33.83,21.65
CARR,61.79,50.14,80.08,22.84
CVNA,400.87,220.94,478.45,16.21
CASY,785.73,429.51,785.73,0.00
CAT,835.21,292.60,835.21,0.00
CBOE,302.14,210.31,309.38,2.34
CBRE,147.59,120.43,171.61,14.00
CDW,137.68,113.48,187.53,26.58
COR,310.88,276.40,374.11,16.90
CNC,40.88,25.21,62.92,35.03
CNP,43.15,34.97,44.14,2.23
CF,125.12,74.17,137.60,9.07
CRL,168.14,109.00,226.77,25.85
SCHW,88.72,76.90,106.85,16.97
CHTR,242.99,182.81,427.25,43.13
CVX,187.76,129.66,211.15,11.08
CMG,33.76,29.81,58.24,42.04
CB,332.42,265.21,341.75,2.73
CHD,94.51,81.26,105.26,10.21
CIEN,508.36,62.59,508.36,0.00
CI,279.66,241.71,332.99,16.02
CINF,168.59,130.69,171.64,1.78
CTAS,177.55,165.71,226.13,21.48
CSCO,89.01,54.38,89.80,0.88
C,127.89,64.62,133.05,3.88
CFG,64.97,35.20,68.12,4.62
